03/07/18,	0,	0
10/07/18,	0,	0
24/07/18,	0,	0
07/08/18,	0,	0
28/08/18,	25,	0
05/09/18,	15,	0
06/09/18,	70,	5.7
11/09/18,	150,	15
12/09/18,	0,	0
13/09/18,	0,	0
14/09/18,	0,	0
17/09/18,	0,	0
18/09/18,	40,	0
19/09/18,	0,	0
21/09/18,	35,	0
25/09/18,	50,	40
17/10/18,	300,	20
18/10/18,	24,	42
19/10/18,	10,	0
23/10/18,	200,	18
24/10/18,	45,	44
25/10/18,	100,	13
